taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
3B4N2,Eriogonum effusum Nutt.,3B4N2,Eriogonum effusum Nutt.,45,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Polygonaceae,627KD,Eriogonum,62RM7,Eriogonum effusum,3B4N2,
6H2BM,Erigeron lonchophyllus Hook.,6H2BM,Erigeron lonchophyllus Hook.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Erigeron,633LL,Erigeron lonchophyllus,6H2BM,LC
KVLNC,Oenothera albicaulis Pursh,KVLNC,Oenothera albicaulis Pursh,73,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Myrtales,3LY,Onagraceae,DL8,Oenothera,63FVB,Oenothera albicaulis,KVLNC,
5KXYM,Rorippa palustris subsp. hispida (Desv.) Jonsell,C86TH,Rorippa hispida subsp. hispida,1,SUBSPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Capparales,V5D96,Brassicaceae,C6GCC,Rorippa,C86QT,Rorippa hispida,4TCPN,
LS5M,Bidens cernua L.,LS5M,Bidens cernua L.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Bidens,62GF8,Bidens cernua,LS5M,LC
3VLDQ,Lithospermum incisum Lehm.,3VLDQ,Lithospermum incisum Lehm.,26,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Lithospermum,5FPB,Lithospermum incisum,3VLDQ,
6ZD2S,Sporobolus airoides (Torr.) Torr.,6ZD2S,Sporobolus airoides (Torr.) Torr.,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Sporobolus,8W3QZ,Sporobolus airoides,6ZD2S,
3WFL2,Lupinus plattensis S.Watson,3WFL2,Lupinus plattensis S.Watson,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Lupinus,9CL8D,Lupinus plattensis,3WFL2,
5R5BW,Ranunculus aquatilis var. diffusus With.,4RHZH,Ranunculus trichophyllus Chaix,1,VARIETY,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ranunculales,3XS,Ranunculaceae,FJR,Ranunculus,774N,Ranunculus trichophyllus,4RHZH,
6KSR7,Grindelia squarrosa (Pursh) Dunal,6KSR7,Grindelia squarrosa (Pursh) Dunal,20,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Grindelia,4R57,Grindelia squarrosa,6KSR7,
5688D,Thelesperma megapotamicum (Spreng.) Herter,5688D,Thelesperma megapotamicum (Spreng.) Herter,24,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Thelesperma,7VK5,Thelesperma megapotamicum,5688D,
ZTR3,Cryptantha cana (A.Nelson) Payson,74T32,Oreocarya cana A.Nelson,9,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Oreocarya,69K4,Oreocarya cana,74T32,
3B4KX,Eriogonum cernuum Nutt.,3B4KX,Eriogonum cernuum Nutt.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Polygonaceae,627KD,Eriogonum,62RM7,Eriogonum cernuum,3B4KX,
4TPZL,Rumex venosus Pursh,4TPZL,Rumex venosus Pursh,24,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Polygonaceae,627KD,Rumex,7B4R,Rumex venosus,4TPZL,
4PLQR,Psoralidium lanceolatum (Pursh) Rydb.,9D7ZN,Ladeania lanceolata (Pursh) Reveal & A.N.Egan,6,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Ladeania,9CSLS,Ladeania lanceolata,9D7ZN,
33DJW,Cyperus squarrosus L.,33DJW,Cyperus squarrosus L.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Cyperaceae,8W5,Cyperus,8VWNX,Cyperus squarrosus,33DJW,LC
H6FQ,Asclepias incarnata L.,H6FQ,Asclepias incarnata L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Apocynaceae,6L2,Asclepias,33PC,Asclepias incarnata,H6FQ,LC
362QN,Dieteria canescens (Pursh) Nutt.,362QN,Dieteria canescens (Pursh) Nutt.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Dieteria,45BW,Dieteria canescens,362QN,
