label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abies Mill.,Abies Mill.,Abies Mill.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Abies concolor,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies concolor,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies lasiocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies lasiocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies lasiocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abronia Juss.,Abronia Juss.,Abronia Juss.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abronia argillosa S.L. Welsh & Goodrich,Abronia glabrifolia,Abronia argillosa S.L. Welsh & Goodrich,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia Abronia glabrifolia,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Abronia carletonii J.M. Coult. & Fisher,Abronia carletonii,Abronia carletonii J.M. Coult. & Fisher,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia Abronia carletonii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abronia elliptica A. Nelson,Abronia elliptica,Abronia elliptica A. Nelson,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia Abronia elliptica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abronia fragrans Nutt. ex Hook.,Abronia fragrans,Abronia fragrans Nutt. ex Hook.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia Abronia fragrans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Abronia nana S. Watson,Abronia nana,Abronia nana S. Watson,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia Abronia nana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abronia nana S. Watson var. nana,Abronia nana,Abronia nana S. Watson var. nana,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia Abronia nana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
