"siteID","taxonID","scientificName","taxonRank","family","nativeStatusCode","morphospeciesID","identificationReferences","identificationHistoryID"
"SCBI","ACMA","Acacia macracantha Humb. & Bonpl. ex Willd.","species","Fabaceae","N",NA,NA,NA
"SCBI","ACRH","Acalypha rhomboidea Raf.","species","Euphorbiaceae","N",NA,NA,NA
"SCBI","ACVI","Acalypha virginica L.","species","Euphorbiaceae","N",NA,NA,NA
"SCBI","ACHI","Acanthospermum hispidum DC.","species","Asteraceae","I",NA,NA,NA
"SCBI","ACNE2","Acer negundo L.","species","Aceraceae","N",NA,NA,NA
"SCBI","ACNEN","Acer negundo L. var. negundo","variety","Aceraceae","N",NA,NA,NA
"SCBI","ACPL","Acer platanoides L.","species","Aceraceae","I",NA,NA,NA
"SCBI","ACRU","Acer rubrum L.","species","Aceraceae","N",NA,NA,NA
"SCBI","ACMI2","Achillea millefolium L.","species","Asteraceae","NI",NA,NA,NA
"SCBI","ACRA7","Actaea racemosa L.","species","Ranunculaceae","N",NA,NA,NA
"SCBI","ACRU2","Actaea rubra (Aiton) Willd.","species","Ranunculaceae","N",NA,NA,NA
"SCBI","ADPE","Adiantum pedatum L.","species","Pteridaceae","N",NA,NA,NA
"SCBI","AGAL5","Ageratina altissima (L.) R.M. King & H. Rob.","species","Asteraceae","N",NA,NA,NA
"SCBI","AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","variety","Asteraceae","N",NA,NA,NA
"SCBI","AGPA6","Agrimonia parviflora Aiton","species","Rosaceae","N",NA,NA,NA
"SCBI","AGRO3","Agrimonia rostellata Wallr.","species","Rosaceae","N",NA,NA,NA
"SCBI","AGGI2","Agrostis gigantea Roth","species","Poaceae","I",NA,NA,NA
"SCBI","AGROS2","Agrostis sp.","genus","Poaceae","UNK","simple feather agrostis",NA,NA
"SCBI","AIAL","Ailanthus altissima (Mill.) Swingle","species","Simaroubaceae","I",NA,NA,NA
"SCBI","ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species","Brassicaceae","I",NA,NA,NA
"SCBI","ALVI","Allium vineale L.","species","Liliaceae","I",NA,NA,NA
"SCBI","ALCA5","Alternanthera caracasana Kunth","species","Amaranthaceae","I",NA,NA,NA
"SCBI","AMARAN","Amaranthaceae sp.","family","Amaranthaceae","UNK","stripestem pigweed",NA,NA
"SCBI","AMAR2","Ambrosia artemisiifolia L.","species","Asteraceae","NI",NA,NA,NA
"SCBI","AMAR3","Amelanchier arborea (Michx. f.) Fernald","species","Rosaceae","N",NA,NA,NA
"SCBI","AMELA","Amelanchier sp.","genus","Rosaceae","N",NA,NA,NA
"SCBI","AMBR2","Amphicarpaea bracteata (L.) Fernald","species","Fabaceae","N",NA,NA,NA
"SCBI","ANAR","Anagallis arvensis L.","species","Primulaceae","I",NA,NA,NA
"SCBI","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",NA,NA,NA
"SCBI","ANDRO2","Andropogon sp.","genus","Poaceae","N",NA,NA,NA
"SCBI","ANVIV","Andropogon virginicus L. var. virginicus","variety","Poaceae","N",NA,NA,NA
"SCBI","ANVIV2","Anemone virginiana L. var. virginiana","variety","Ranunculaceae","N",NA,NA,NA
"SCBI","ANAR6","Anthemis arvensis L.","species","Asteraceae","I",NA,NA,NA
"SCBI","ANOD","Anthoxanthum odoratum L.","species","Poaceae","I",NA,NA,NA
"SCBI","APHY","Aplectrum hyemale (Muhl. ex Willd.) Torr.","species","Orchidaceae","N",NA,NA,NA
"SCBI","APCA","Apocynum cannabinum L.","species","Apocynaceae","N",NA,NA,NA
"SCBI","APOCY","Apocynum sp.","genus","Apocynaceae","N",NA,NA,NA
"SCBI","ARLA","Arabis laevigata (Muhl. ex Willd.) Poir.","species","Brassicaceae","N",NA,NA,NA
"SCBI","ARMI2","Arctium minus Bernh.","species","Asteraceae","I",NA,NA,NA
"SCBI","ARTR","Arisaema triphyllum (L.) Schott","species","Araceae","N",NA,NA,NA
"SCBI","ARTRT3","Arisaema triphyllum (L.) Schott ssp. triphyllum","subspecies","Araceae","N",NA,NA,NA
"SCBI","ARSE3","Aristolochia serpentaria L.","species","Aristolochiaceae","N",NA,NA,NA
"SCBI","AREL3","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl","species","Poaceae","I",NA,NA,NA
"SCBI","ARAN3","Artemisia annua L.","species","Asteraceae","I",NA,NA,NA
"SCBI","ARHI3","Arthraxon hispidus (Thunb.) Makino","species","Poaceae","I",NA,NA,NA
"SCBI","ASCA","Asarum canadense L.","species","Aristolochiaceae","N",NA,NA,NA
"SCBI","ASSY","Asclepias syriaca L.","species","Asclepiadaceae","N",NA,NA,NA
"SCBI","ASVI","Asclepias viridiflora Raf.","species","Asclepiadaceae","N",NA,NA,NA
"SCBI","ASTR","Asimina triloba (L.) Dunal","species","Annonaceae","N",NA,NA,NA
"SCBI","ASOF","Asparagus officinalis L.","species","Liliaceae","I",NA,NA,NA
"SCBI","ASPI","Asplenium pinnatifidum Nutt.","species","Aspleniaceae","N",NA,NA,NA
"SCBI","ASPL","Asplenium platyneuron (L.) Britton, Sterns & Poggenb.","species","Aspleniaceae","N",NA,NA,NA
"SCBI","ASTERA","Asteraceae sp.","family","Asteraceae","UNK","entire smooth aster",NA,NA
"SCBI","ASTERASPP","Asteraceae spp.","family","Asteraceae","UNK","TAA",NA,NA
"SCBI","ATFIA2","Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén","subspecies","Dryopteridaceae","N",NA,NA,NA
"SCBI","ATHYR","Athyrium sp.","genus","Dryopteridaceae","N",NA,NA,NA
"SCBI","BARBA","Barbarea sp.","genus","Brassicaceae","I",NA,NA,NA
"SCBI","BAVU","Barbarea vulgaris W.T. Aiton","species","Brassicaceae","I",NA,NA,NA
"SCBI","BECH","Belamcanda chinensis (L.) DC.","species","Iridaceae","I",NA,NA,NA
"SCBI","BETH","Berberis thunbergii DC.","species","Berberidaceae","I",NA,NA,NA
"SCBI","BENI","Betula nigra L.","species","Betulaceae","N",NA,NA,NA
"SCBI","BOCY","Boehmeria cylindrica (L.) Sw.","species","Urticaceae","N",NA,NA,NA
"SCBI","BODI2","Botrychium dissectum Spreng.","species","Ophioglossaceae","N",NA,NA,NA
"SCBI","BOVI","Botrychium virginianum (L.) Sw.","species","Ophioglossaceae","N",NA,NA,NA
"SCBI","BRER2","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","species","Poaceae","N",NA,NA,NA
"SCBI","BRASS2","Brassica sp.","genus","Brassicaceae","I","Earlobe brassica",NA,NA
"SCBI","BRASSI","Brassicaceae sp.","family","Brassicaceae","UNK","earlobe brassica",NA,NA
"SCBI","BRAR5","Bromus arvensis L.","species","Poaceae","I",NA,NA,NA
"SCBI","BRIN2","Bromus inermis Leyss.","species","Poaceae","NI",NA,NA,NA
"SCBI","BRPU6","Bromus pubescens Muhl. ex Willd.","species","Poaceae","N",NA,NA,NA
"SCBI","BROMU","Bromus sp.","genus","Poaceae","UNK",NA,NA,NA
"SCBI","BRST2","Bromus sterilis L.","species","Poaceae","I",NA,NA,NA
"SCBI","BRPA4","Broussonetia papyrifera (L.) L'Hér. ex Vent.","species","Moraceae","I",NA,NA,NA
"SCBI","CASE13","Calystegia sepium (L.) R. Br.","species","Convolvulaceae","NI",NA,NA,NA
"SCBI","CASI10","Calystegia silvatica (Kit.) Griseb.","species","Convolvulaceae","NI",NA,NA,NA
"SCBI","CASIF","Calystegia silvatica (Kit.) Griseb. ssp. fraterniflora (Mack. & Bush) Brummitt","subspecies","Convolvulaceae","N",NA,NA,NA
"SCBI","CALYS","Calystegia sp.","genus","Convolvulaceae","UNK",NA,NA,NA
"SCBI","CARA2","Campsis radicans (L.) Seem. ex Bureau","species","Bignoniaceae","N",NA,NA,NA
"SCBI","CACO26","Cardamine concatenata (Michx.) Sw.","species","Brassicaceae","N",NA,NA,NA
"SCBI","CAHI3","Cardamine hirsuta L.","species","Brassicaceae","I",NA,NA,NA
"SCBI","CAPE3","Cardamine pensylvanica Muhl. ex Willd.","species","Brassicaceae","N",NA,NA,NA
"SCBI","CARDA","Cardamine sp.","genus","Brassicaceae","UNK",NA,NA,NA
"SCBI","CAAC","Carduus acanthoides L.","species","Asteraceae","I",NA,NA,NA
"SCBI","CANU4","Carduus nutans L.","species","Asteraceae","I",NA,NA,NA
"SCBI","CARDU","Carduus sp.","genus","Asteraceae","I",NA,NA,NA
"SCBI","CAAG2","Carex aggregata Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAAM8","Carex amphibola Steud.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CABL","Carex blanda Dewey","species","Cyperaceae","N",NA,NA,NA
"SCBI","CABR10","Carex brevior (Dewey) Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CABU5","Carex bushii Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CACE","Carex cephalophora Muhl. ex Willd.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CACO13","Carex conjuncta Boott","species","Cyperaceae","N",NA,NA,NA
"SCBI","CADE5","Carex debilis Michx.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CADID2","Carex digitalis Willd. var. digitalis","variety","Cyperaceae","N",NA,NA,NA
