"genus","species","scientific_name","common_name"
"Abutilon","theophrasti","Abutilon theophrasti"," Velvetleaf"
"Acalypha","deamii","Acalypha deamii"," Deam's Three-Seed-Mercury"
"Acalypha","gracilens","Acalypha gracilens"," Slender Three-Seed-Mercury"
"Acalypha","rhomboidea","Acalypha rhomboidea"," Common Three-Seed-Mercury"
"Acalypha","virginica","Acalypha virginica"," Virginia Three-Seed-Mercury"
"Acer","negundo","Acer negundo"," Ash-Leaf Maple"
"Acer","negundo","Acer negundo"," var. negundo"
"Acer","nigrum","Acer nigrum"," Black Maple"
"Acer","pensylvanicum","Acer pensylvanicum"," Striped Maple"
"Acer","platanoides","Acer platanoides"," Norway Maple"
"Acer","rubrum","Acer rubrum"," Red Maple"
"Acer","rubrum","Acer rubrum"," var. rubrum"
"Acer","saccharinum","Acer saccharinum"," Silver Maple"
"Acer","saccharum","Acer saccharum"," Sugar Maple"
"Acer","saccharum","Acer saccharum"," var. saccharum"
"Acer","spicatum","Acer spicatum"," Mountain Maple"
"Achillea","millefolium","Achillea millefolium"," Common Yarrow"
"Aconitum","reclinatum","Aconitum reclinatum"," Trailing White Monkshood"
"Acorus","calamus","Acorus calamus"," Single-Vein Sweetflag"
"Actaea","pachypoda","Actaea pachypoda"," White Baneberry"
"Actaea","racemosa","Actaea racemosa"," Black Bugbane"
"Adiantum","pedatum","Adiantum pedatum"," Northern Maidenhair"
"Adlumia","fungosa","Adlumia fungosa"," Allegheny-Vine"
"Aegilops","cylindrica","Aegilops cylindrica"," Jointed Goat Grass"
"Agalinis","purpurea","Agalinis purpurea"," Purple False Foxglove"
"Agalinis","tenuifolia","Agalinis tenuifolia"," Slender-Leaf False Foxglove"
"Agastache","nepetoides","Agastache nepetoides"," Yellow Giant-Hyssop"
"Agastache","scrophulariifolia","Agastache scrophulariifolia"," Purple Giant-Hyssop"
"Ageratina","altissima","Ageratina altissima"," White Snakeroot"
"Ageratina","altissima","Ageratina altissima"," var. altissima"
"Ageratina","aromatica","Ageratina aromatica"," Lesser Snakeroot"
"Agrimonia","gryposepala","Agrimonia gryposepala"," Tall Hairy Grooveburr"
"Agrimonia","parviflora","Agrimonia parviflora"," Harvestlice"
"Agrimonia","pubescens","Agrimonia pubescens"," Soft Grooveburr"
"Agrimonia","rostellata","Agrimonia rostellata"," Beaked Grooveburr"
"Agrostemma","githago","Agrostemma githago"," Common Corncockle"
"Agrostis","gigantea","Agrostis gigantea"," Black Bent"
"Agrostis","hyemalis","Agrostis hyemalis"," Winter Bent"
"Agrostis","perennans","Agrostis perennans"," Upland Bent"
"Ailanthus","altissima","Ailanthus altissima"," Tree-of-Heaven"
"Albizia","julibrissin","Albizia julibrissin"," Silktree"
"Alcea","rosea","Alcea rosea"," Hollyhock"
"Alisma","subcordatum","Alisma subcordatum"," American Water-Plantain"
"Alliaria","petiolata","Alliaria petiolata"," Garlic-Mustard"
"Allium","cernuum","Allium cernuum"," Nodding Onion"
"Allium","tricoccum","Allium tricoccum"," Ramp"
"Allium","tricoccum","Allium tricoccum"," var. tricoccum"
"Allium","vineale","Allium vineale"," Crow Garlic"
"Allium","vineale","Allium vineale"," ssp. vineale"
"Alnus","serrulata","Alnus serrulata"," Brookside Alder"
"Alyssum","alyssoides","Alyssum alyssoides"," Pale Madwort"
"Amaranthus","albus","Amaranthus albus"," Tumbleweed"
"Amaranthus","blitum","Amaranthus blitum"," Purple Amaranth"
"Amaranthus","blitum","Amaranthus blitum"," ssp. emarginatus"
"Amaranthus","blitum","Amaranthus blitum"," ssp. emarginatus var. emarginatus"
"Amaranthus","hybridus","Amaranthus hybridus"," Smooth Amaranth"
"Amaranthus","hybridus","Amaranthus hybridus"," ssp. hybridus"
"Amaranthus","retroflexus","Amaranthus retroflexus"," Red-Root"
"Amaranthus","spinosus","Amaranthus spinosus"," Spiny Amaranth"
"Ambrosia","artemisiifolia","Ambrosia artemisiifolia"," Annual Ragweed"
"Ambrosia","trifida","Ambrosia trifida"," Great Ragweed"
"Amelanchier","arborea","Amelanchier arborea"," Downy Service-Berry"
"Amelanchier","canadensis","Amelanchier canadensis"," Canadian Service-Berry"
"Amelanchier","canadensis","Amelanchier canadensis"," var. canadensis"
"Amelanchier","laevis","Amelanchier laevis"," Allegheny Service-Berry"
"Amelanchier","sanguinea","Amelanchier sanguinea"," Round-Leaf Service-Berry"
"Amelanchier","spicata","Amelanchier spicata"," Running Service-Berry"
"Amianthium","muscitoxicum","Amianthium muscitoxicum"," Flypoison"
"Ammannia","coccinea","Ammannia coccinea"," Valley Redstem"
"Ampelopsis","cordata","Ampelopsis cordata"," Heart-Leaf Peppervine"
"Ampelopsis","glandulosa","Ampelopsis glandulosa"," Amur Peppervine"
