taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
VM7YP,Galium circaezans Michx.,VM7YP,Galium circaezans Michx.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Rubiaceae,SGJN5,Galium,8VXRS,Galium circaezans,VM7YP,
49L7W,Onoclea sensibilis L.,49L7W,Onoclea sensibilis L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Onocleaceae,DLR,Onoclea,68CH,Onoclea sensibilis,49L7W,LC
6ZJVS,Stellaria pubera Michx.,6ZJVS,Stellaria pubera Michx.,14,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Caryophyllaceae,7RZ,Stellaria,4PZ,Stellaria pubera,6ZJVS,
4W9BF,Sedum glaucophyllum R.T.Clausen,4W9BF,Sedum glaucophyllum R.T.Clausen,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Saxifragales,424,Crassulaceae,8N6,Sedum,7F44,Sedum glaucophyllum,4W9BF,
72LWC,Lobelia siphilitica L.,72LWC,Lobelia siphilitica L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Campanulaceae,LZZSM,Lobelia,8VYZ5,Lobelia siphilitica,72LWC,LC
3VZBF,Lonicera maackii (Rupr.) Maxim.,3VZBF,Lonicera maackii (Rupr.) Maxim.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Dipsacales,35C,Caprifoliaceae,KV2D5,Lonicera,5GFJ,Lonicera maackii,3VZBF,
QBTT,Campanula rapunculoides L.,QBTT,Campanula rapunculoides L.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Campanulaceae,LZZSM,Campanula,8VR3V,Campanula rapunculoides,QBTT,
4L8R6,Polygonatum biflorum (Walter) Elliott,4L8R6,Polygonatum biflorum (Walter) Elliott,15,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Asparagales,SP,Asparagaceae,6T3,Polygonatum,8W2LK,Polygonatum biflorum,4L8R6,
4ZRH7,Stellaria media (L.) Vill.,4ZRH7,Stellaria media (L.) Vill.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Caryophyllaceae,7RZ,Stellaria,4PZ,Stellaria media,4ZRH7,
6QQP7,Lysimachia ciliata L.,6QQP7,Lysimachia ciliata L.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ericales,625QY,Primulaceae,627BN,Lysimachia,62XTM,Lysimachia ciliata,6QQP7,LC
6SFBS,Obolaria virginica L.,6SFBS,Obolaria virginica L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Gentianaceae,6247C,Obolaria,669R,Obolaria virginica,6SFBS,
R4BZ,Cardamine concatenata (Michx.) O.Schwarz,R4BZ,Cardamine concatenata (Michx.) O.Schwarz,11,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Capparales,V5D96,Brassicaceae,C6GCC,Cardamine,C6K8G,Cardamine concatenata,R4BZ,
4TK5X,Rubus flagellaris Willd.,4TK5X,Rubus flagellaris Willd.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Rubus,643JJ,Rubus flagellaris,4TK5X,
43P95,Mitella diphylla L.,43P95,Mitella diphylla L.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Saxifragales,424,Saxifragaceae,6278B,Mitella,5TSR,Mitella diphylla,43P95,
JFFF,Athyrium asplenioides (Michx.) Desv.,JFFF,Athyrium asplenioides (Michx.) Desv.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Athyriaceae,6VS,Athyrium,3535,Athyrium asplenioides,JFFF,
3YMX2,Medeola virginiana L.,3YMX2,Medeola virginiana L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Liliales,623DL,Liliaceae,6259D,Medeola,8VZ7N,Medeola virginiana,3YMX2,
M9CF,Boehmeria cylindrica (L.) Sw.,M9CF,Boehmeria cylindrica (L.) Sw.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Urticaceae,HQS,Boehmeria,3B2D,Boehmeria cylindrica,M9CF,LC
6CMCY,Deparia acrostichoides (Sw.) M.Kato,6CMCY,Deparia acrostichoides (Sw.) M.Kato,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Athyriaceae,6VS,Deparia,62PJV,Deparia acrostichoides,6CMCY,
67QDX,Aquilegia canadensis L.,67QDX,Aquilegia canadensis L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ranunculales,3XS,Ranunculaceae,FJR,Aquilegia,ZHP,Aquilegia canadensis,67QDX,
627FW,Poaceae Barnhart,627FW,Poaceae Barnhart,16,FAMILY,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,,,,,
37XQX,Dryopteris spinulosa (O.F.Müll.) Kuntze,37W3P,Dryopteris carthusiana (Vill.) H.P.Fuchs,1,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Dryopteridaceae,9H9,Dryopteris,48JM,Dryopteris carthusiana,37W3P,
53Q7D,Symphyotrichum divaricatum (Nutt.) G.L.Nesom,53Q7D,Symphyotrichum divaricatum (Nutt.) G.L.Nesom,8,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Symphyotrichum,7QW7,Symphyotrichum divaricatum,53Q7D,
562K5,Thalictrum thalictroides (L.) A.J.Eames & B.Boivin,562K5,Thalictrum thalictroides (L.) A.J.Eames & B.Boivin,15,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ranunculales,3XS,Ranunculaceae,FJR,Thalictrum,7V6B,Thalictrum thalictroides,562K5,
6Q3GP,Lespedeza violacea (L.) Pers.,6Q3GP,Lespedeza violacea (L.) Pers.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Lespedeza,9CL6Z,Lespedeza violacea,6Q3GP,
322XH,Cryptotaenia canadensis (L.) DC.,322XH,Cryptotaenia canadensis (L.) DC.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Apiales,B7VXH,Apiaceae,6KC,Cryptotaenia,62P6M,Cryptotaenia canadensis,322XH,
3PJJK,Impatiens capensis Meerb.,3PJJK,Impatiens capensis Meerb.,11,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ericales,625QY,Balsaminaceae,72Q,Impatiens,542F,Impatiens capensis,3PJJK,LC
3ZQV2,Menispermum canadense L.,3ZQV2,Menispermum canadense L.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ranunculales,3XS,Menispermaceae,CLG,Menispermum,5P49,Menispermum canadense,3ZQV2,
KM6S,Barbarea vulgaris W.T.Aiton,KM6S,Barbarea vulgaris W.T.Aiton,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Capparales,V5D96,Brassicaceae,C6GCC,Barbarea,C6BVQ,Barbarea vulgaris,KM6S,DD
G4X9,Aralia racemosa L.,G4X9,Aralia racemosa L.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Apiales,B7VXH,Araliaceae,B7VYB,Aralia,8VV5X,Aralia racemosa,G4X9,
4W2LJ,Scutellaria serrata Andrews,4W2LJ,Scutellaria serrata Andrews,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Lamiaceae,PR82T,Scutellaria,8W3H6,Scutellaria serrata,4W2LJ,
4C9MC,Panax quinquefolius L.,4C9MC,Panax quinquefolius L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Apiales,B7VXH,Araliaceae,B7VYB,Panax,8W23M,Panax quinquefolius,4C9MC,
3F5B8,Galium aparine L.,3F5B8,Galium aparine L.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Rubiaceae,SGJN5,Galium,8VXRS,Galium aparine,3F5B8,
4Y7BT,Solidago juncea Aiton,4Y7BT,Solidago juncea Aiton,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Solidago,7JH2,Solidago juncea,4Y7BT,
