label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abelmoschus Medik.,Abelmoschus Medik.,Abelmoschus Medik.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abelmoschus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,Abelmoschus esculentus (L.) Moench,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abelmoschus Abelmoschus esculentus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abies Mill.,Abies Mill.,Abies Mill.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abies balsamea (L.) Mill.,Abies balsamea,Abies balsamea (L.) Mill.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies balsamea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abies balsamea (L.) Mill. var. balsamea,Abies balsamea,Abies balsamea (L.) Mill. var. balsamea,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies balsamea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Abies balsamea (L.) Mill. var. phanerolepis Fernald,Abies balsamea,Abies balsamea (L.) Mill. var. phanerolepis Fernald,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies balsamea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Abies fraseri (Pursh) Poir.,Abies fraseri,Abies fraseri (Pursh) Poir.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies Abies fraseri,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abutilon Mill.,Abutilon Mill.,Abutilon Mill.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Abutilon theophrasti Medik.,Abutilon theophrasti,Abutilon theophrasti Medik.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon Abutilon theophrasti,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha L.,Acalypha L.,Acalypha L.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acalypha deamii (Weath.) H.E. Ahles,Acalypha deamii,Acalypha deamii (Weath.) H.E. Ahles,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha Acalypha deamii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha gracilens A. Gray,Acalypha gracilens,Acalypha gracilens A. Gray,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha Acalypha gracilens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha ostryifolia Riddell,Acalypha ostryifolia,Acalypha ostryifolia Riddell,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha Acalypha ostryifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acalypha rhomboidea Raf.,Acalypha rhomboidea,Acalypha rhomboidea Raf.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha Acalypha rhomboidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha virginica L.,Acalypha virginica,Acalypha virginica L.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha Acalypha virginica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acanthospermum Schrank,Acanthospermum Schrank,Acanthospermum Schrank,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Acanthospermum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acanthospermum australe (Loefl.) Kuntze,Acanthospermum australe,Acanthospermum australe (Loefl.) Kuntze,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Acanthospermum Acanthospermum australe,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acanthospermum hispidum DC.,Acanthospermum hispidum,Acanthospermum hispidum DC.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Acanthospermum Acanthospermum hispidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acarospora A. Massal.,Acarospora A. Massal.,Acarospora A. Massal.,Fungi Ascomycota Lecanoromycetes Acarosporales Acarosporaceae Acarospora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer L.,Acer L.,Acer L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acer floridanum (Chapm.) Pax,Acer floridanum,Acer floridanum (Chapm.) Pax,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer floridanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer negundo L.,Acer negundo,Acer negundo L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer negundo L. var. negundo,Acer negundo,Acer negundo L. var. negundo,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Acer negundo L. var. texanum Pax,Acer negundo,Acer negundo L. var. texanum Pax,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
