label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus gracilis Nutt.,Astragalus gracilis,Astragalus gracilis Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus Astragalus gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,Astragalus pectinatus,Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus Astragalus pectinatus,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Atriplex canescens (Pursh) Nutt.,Atriplex canescens,Atriplex canescens (Pursh) Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex Atriplex canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Bouteloua gracilis,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua Bouteloua gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex duriuscula C.A. Mey.,Carex duriuscula,Carex duriuscula C.A. Mey.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex duriuscula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cryptantha crassisepala (Torr. & A. Gray) Greene,Cryptantha crassisepala,Cryptantha crassisepala (Torr. & A. Gray) Greene,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Cryptantha Cryptantha crassisepala,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cryptantha minima Rydb.,Cryptantha minima,Cryptantha minima Rydb.,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Cryptantha Cryptantha minima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Distichlis spicata (L.) Greene,Distichlis spicata,Distichlis spicata (L.) Greene,Plantae Tracheophyta Liliopsida Poales Poaceae Distichlis Distichlis spicata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Elymus elymoides (Raf.) Swezey,Elymus elymoides,Elymus elymoides (Raf.) Swezey,Plantae Tracheophyta Liliopsida Poales Poaceae Elymus Elymus elymoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Eriogonum effusum Nutt.,Eriogonum effusum,Eriogonum effusum Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Polygonaceae Eriogonum Eriogonum effusum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Escobaria vivipara (Nutt.) Buxbaum,Pelecyphora vivipara,Escobaria vivipara (Nutt.) Buxbaum,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Pelecyphora Pelecyphora vivipara,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
