label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon theophrasti,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acer negundo,Acer negundo,Acer negundo,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acer saccharinum,Acer saccharinum,Acer saccharinum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer saccharinum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Achillea millefolium,Achillea millefolium,Achillea millefolium,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Acorus calamus,Acorus calamus,Acorus calamus,Plantae Tracheophyta Liliopsida Acorales Acoraceae Acorus calamus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Aegilops cylindrica,Aegilops cylindrica,Aegilops cylindrica,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Agalinis tenuifolia,Agalinis tenuifolia,Agalinis tenuifolia,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis tenuifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis gigantea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Ailanthus altissima,Ailanthus altissima,Ailanthus altissima,Plantae Tracheophyta Magnoliopsida Sapindales Simaroubaceae Ailanthus altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Alcea rosea,Alcea rosea,Alcea rosea,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Alcea rosea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Allium cernuum,Allium cernuum,Allium cernuum,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium cernuum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Alyssum alyssoides,Alyssum alyssoides,Alyssum alyssoides,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alyssum alyssoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Amaranthus albus,Amaranthus albus,Amaranthus albus,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Amaranthus albus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Amaranthus hybridus,Amaranthus hybridus,Amaranthus hybridus,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Amaranthus hybridus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Amaranthus retroflexus,Amaranthus retroflexus,Amaranthus retroflexus,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Amaranthus retroflexus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ambrosia artemisiifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Ambrosia trifida,Ambrosia trifida,Ambrosia trifida,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ambrosia trifida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Anaphalis margaritacea,Anaphalis margaritacea,Anaphalis margaritacea,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Anaphalis margaritacea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Andropogon gerardi,Andropogon gerardi,Andropogon gerardi,Plantae Tracheophyta Liliopsida Poales Poaceae Andropogon gerardi,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Anemone multifida,Anemone multifida,Anemone multifida,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Anemone multifida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Anemopsis californica,Anemopsis californica,Anemopsis californica,Plantae Tracheophyta Magnoliopsida Piperales Saururaceae Anemopsis californica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Angelica ampla,Angelica ampla,Angelica ampla,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Angelica ampla,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Angelica grayi,Angelica grayi,Angelica grayi,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Angelica grayi,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Antennaria anaphaloides,Antennaria anaphaloides,Antennaria anaphaloides,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria anaphaloides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Antennaria dimorpha,Antennaria dimorpha,Antennaria dimorpha,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria dimorpha,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Antennaria howellii,Antennaria howellii,Antennaria howellii,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria howellii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Antennaria microphylla,Antennaria microphylla,Antennaria microphylla,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria microphylla,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Antennaria neglecta,Antennaria neglecta,Antennaria neglecta,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria neglecta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Antennaria parvifolia,Antennaria parvifolia,Antennaria parvifolia,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria parvifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Antennaria rosea,Antennaria rosea,Antennaria rosea,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria rosea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Anthemis arvensis,Anthemis arvensis,Anthemis arvensis,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Anthemis arvensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anthemis cotula,Anthemis cotula,Anthemis cotula,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Anthemis cotula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anthoxanthum hirtum,Anthoxanthum nitens,Anthoxanthum hirtum,Plantae Tracheophyta Liliopsida Poales Poaceae Anthoxanthum nitens,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Anticlea elegans,Anticlea elegans,Anticlea elegans,Plantae Tracheophyta Liliopsida Liliales Melanthiaceae Anticlea elegans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Apios americana,Apios americana,Apios americana,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Apios americana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Apocynum androsaemifolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Apocynum cannabinum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Aquilegia caerulea,Aquilegia coerulea,Aquilegia caerulea,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aquilegia coerulea,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
