label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abronia fragrans Nutt. ex Hook.,Abronia fragrans,Abronia fragrans Nutt. ex Hook.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia fragrans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Abutilon theophrasti Medik.,Abutilon theophrasti,Abutilon theophrasti Medik.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon theophrasti,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Achillea millefolium L.,Achillea millefolium,Achillea millefolium L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aegilops cylindrica Host,Aegilops cylindrica,Aegilops cylindrica Host,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agalinis tenuifolia (Vahl) Raf.,Agalinis tenuifolia,Agalinis tenuifolia (Vahl) Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis tenuifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Agastache foeniculum (Pursh) Kuntze,Agastache foeniculum,Agastache foeniculum (Pursh) Kuntze,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Agastache foeniculum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agoseris parviflora (Nutt.) D.Dietr.,Agoseris parviflora,Agoseris parviflora (Nutt.) D.Dietr.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Agoseris parviflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agropyron cristatum (L.) Gaertn.,Agropyron cristatum,Agropyron cristatum (L.) Gaertn.,Plantae Tracheophyta Liliopsida Poales Poaceae Agropyron cristatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agropyron desertorum (Fisch. ex Link) Schult.,Agropyron desertorum,Agropyron desertorum (Fisch. ex Link) Schult.,Plantae Tracheophyta Liliopsida Poales Poaceae Agropyron desertorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea Roth,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis gigantea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Alisma triviale Pursh,Alisma triviale,Alisma triviale Pursh,Plantae Tracheophyta Liliopsida Alismatales Alismataceae Alisma triviale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium canadense L.,Allium canadense,Allium canadense L.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium canadense,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Allium textile A.Nelson & J.F.Macbr.,Allium textile,Allium textile A.Nelson & J.F.Macbr.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium textile,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
