label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies lasiocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abronia fragrans Nutt. ex Hook.,Abronia fragrans,Abronia fragrans Nutt. ex Hook.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia fragrans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Achillea millefolium L. var. alpicola (Rydb.) Garrett,Achillea millefolium,Achillea millefolium L. var. alpicola (Rydb.) Garrett,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Achnatherum hymenoides (Roem. & Schult.) Barkworth,Eriocoma hymenoides,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Plantae Tracheophyta Liliopsida Poales Poaceae Eriocoma hymenoides,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Agropyron cristatum (L.) Gaertn.,Agropyron cristatum,Agropyron cristatum (L.) Gaertn.,Plantae Tracheophyta Liliopsida Poales Poaceae Agropyron cristatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agrostis perennans (Walter) Tuck.,Agrostis perennans,Agrostis perennans (Walter) Tuck.,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis perennans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium textile A. Nelson & J.F. Macbr.,Allium textile,Allium textile A. Nelson & J.F. Macbr.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium textile,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Amaranthus sp.,Amaranthus ,Amaranthus sp.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Amaranthus,MULTI_EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_HOMONYM
Ambrosia tomentosa Nutt.,Ambrosia tomentosa,Ambrosia tomentosa Nutt.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ambrosia tomentosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Antennaria media Greene,Antennaria media,Antennaria media Greene,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Antennaria media,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Arabis crandallii B.L. Rob.,Boechera crandallii,Arabis crandallii B.L. Rob.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Boechera crandallii,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Arabis drummondii A. Gray,Boechera stricta,Arabis drummondii A. Gray,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Boechera stricta,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Arabis pendulina Greene,Boechera pendulina,Arabis pendulina Greene,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Boechera pendulina,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Arenaria hookeri Nutt.,Eremogone hookeri,Arenaria hookeri Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Caryophyllaceae Eremogone hookeri,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Argemone polyanthemos (Fedde) G.B. Ownbey,Argemone polyanthemos,Argemone polyanthemos (Fedde) G.B. Ownbey,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Argemone polyanthemos,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aristida purpurea Nutt.,Aristida purpurea,Aristida purpurea Nutt.,Plantae Tracheophyta Liliopsida Poales Poaceae Aristida purpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Arnica cordifolia Hook.,Arnica cordifolia,Arnica cordifolia Hook.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Arnica cordifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia campestris L.,Artemisia campestris,Artemisia campestris L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia campestris,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Artemisia dracunculus L.,Artemisia dracunculus,Artemisia dracunculus L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia dracunculus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Artemisia filifolia Torr.,Artemisia filifolia,Artemisia filifolia Torr.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia filifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia franserioides Greene,Artemisia franserioides,Artemisia franserioides Greene,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia franserioides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Artemisia ludoviciana Nutt.,Artemisia ludoviciana,Artemisia ludoviciana Nutt.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia ludoviciana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Artemisia sp.,Artemisia ,Artemisia sp.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia,MULTI_EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_HOMONYM
Asteraceae sp., ,Asteraceae sp.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asterella gracilis (F. Weber) Underw.,Mannia gracilis,Asterella gracilis (F. Weber) Underw.,Plantae Marchantiophyta Marchantiopsida Marchantiales Aytoniaceae Mannia gracilis,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Astragalus crassicarpus Nutt.,Astragalus crassicarpus,Astragalus crassicarpus Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus crassicarpus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus drummondii Douglas ex Hook.,Astragalus drummondii,Astragalus drummondii Douglas ex Hook.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus drummondii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus gracilis Nutt.,Astragalus gracilis,Astragalus gracilis Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus missouriensis Nutt.,Astragalus missouriensis,Astragalus missouriensis Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus missouriensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus mollissimus Torr.,Astragalus mollissimus,Astragalus mollissimus Torr.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus mollissimus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,Astragalus pectinatus,Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus pectinatus,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
