label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Allium textile A. Nelson & J.F. Macbr.,Allium textile,Allium textile A. Nelson & J.F. Macbr.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium textile,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Argemone polyanthemos (Fedde) G.B. Ownbey,Argemone polyanthemos,Argemone polyanthemos (Fedde) G.B. Ownbey,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Argemone polyanthemos,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aristida purpurea Nutt.,Aristida purpurea,Aristida purpurea Nutt.,Plantae Tracheophyta Liliopsida Poales Poaceae Aristida purpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus gracilis Nutt.,Astragalus gracilis,Astragalus gracilis Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,Astragalus pectinatus,Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus pectinatus,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Atriplex canescens (Pursh) Nutt.,Atriplex canescens,Atriplex canescens (Pursh) Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bouteloua dactyloides (Nutt.) J.T. Columbus,Bouteloua dactyloides,Bouteloua dactyloides (Nutt.) J.T. Columbus,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua dactyloides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Bouteloua gracilis,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex duriuscula C.A. Mey.,Carex duriuscula,Carex duriuscula C.A. Mey.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex duriuscula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Chamaesyce glyptosperma (Engelm.) Small,Euphorbia glyptosperma,Chamaesyce glyptosperma (Engelm.) Small,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Euphorbia glyptosperma,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Cirsium canescens Nutt.,Cirsium canescens,Cirsium canescens Nutt.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Cirsium canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cleome serrulata Pursh,Cleome Pursh,Cleome serrulata Pursh,Plantae Cleome Pursh,FORCE_ACCEPTED
