label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium vineale L.,Allium vineale,Allium vineale L.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium Allium vineale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Asclepias syriaca L.,Asclepias syriaca,Asclepias syriaca L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias Asclepias syriaca,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex amphibola Steud.,Carex amphibola,Carex amphibola Steud.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex amphibola,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex conjuncta Boott,Carex conjuncta,Carex conjuncta Boott,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex conjuncta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex gracilescens Steud.,Carex gracilescens Steud.,Carex gracilescens Steud.,Plantae Carex Carex gracilescens Steud.,FORCE_ACCEPTED
Carex muehlenbergii Schkuhr ex Willd.,Carex muehlenbergii,Carex muehlenbergii Schkuhr ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex muehlenbergii,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Celtis occidentalis L.,Celtis occidentalis,Celtis occidentalis L.,Plantae Tracheophyta Magnoliopsida Rosales Cannabaceae Celtis Celtis occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Corydalis flavula (Raf.) DC.,Corydalis flavula,Corydalis flavula (Raf.) DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Corydalis Corydalis flavula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Diospyros virginiana L.,Diospyros virginiana,Diospyros virginiana L.,Plantae Tracheophyta Magnoliopsida Ericales Ebenaceae Diospyros Diospyros virginiana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Duchesnea indica (Andrews) Focke,Potentilla indica,Duchesnea indica (Andrews) Teschem.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Potentilla Potentilla indica,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Festuca subverticillata (Pers.) Alexeev,Festuca subverticillata,Festuca subverticillata (Pers.) Alexeev,Plantae Tracheophyta Liliopsida Poales Poaceae Festuca Festuca subverticillata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
