label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon theophrasti,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acalypha deamii,Acalypha deamii,Acalypha deamii,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha deamii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acalypha gracilens,Acalypha gracilens,Acalypha gracilens,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha gracilens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acalypha rhomboidea,Acalypha rhomboidea,Acalypha rhomboidea,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha rhomboidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acalypha virginica,Acalypha virginica,Acalypha virginica,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha virginica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer negundo,Acer negundo,Acer negundo,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acer nigrum,Acer nigrum,Acer nigrum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer nigrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acer pensylvanicum,Acer pensylvanicum,Acer pensylvanicum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer pensylvanicum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer platanoides,Acer platanoides,Acer platanoides,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer platanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acer rubrum,Acer rubrum,Acer rubrum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Acer saccharinum,Acer saccharinum,Acer saccharinum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer saccharinum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer saccharum,Acer saccharum,Acer saccharum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer saccharum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Acer spicatum,Acer spicatum,Acer spicatum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer spicatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Achillea millefolium,Achillea millefolium,Achillea millefolium,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Aconitum reclinatum,Aconitum reclinatum,Aconitum reclinatum,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aconitum reclinatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Acorus calamus,Acorus calamus,Acorus calamus,Plantae Tracheophyta Liliopsida Acorales Acoraceae Acorus calamus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Actaea pachypoda,Actaea pachypoda,Actaea pachypoda,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea pachypoda,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Actaea racemosa,Actaea racemosa,Actaea racemosa,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Adiantum pedatum,Adiantum pedatum,Adiantum pedatum,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Adlumia fungosa,Adlumia fungosa,Adlumia fungosa,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Adlumia fungosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Aegilops cylindrica,Aegilops cylindrica,Aegilops cylindrica,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Agalinis purpurea,Agalinis purpurea,Agalinis purpurea,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis purpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agalinis tenuifolia,Agalinis tenuifolia,Agalinis tenuifolia,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis tenuifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Agastache nepetoides,Agastache nepetoides,Agastache nepetoides,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Agastache nepetoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Agastache scrophulariifolia,Agastache scrophulariifolia,Agastache scrophulariifolia,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Agastache scrophulariifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Ageratina altissima,Ageratina altissima,Ageratina altissima,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Ageratina aromatica,Ageratina aromatica,Ageratina aromatica,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina aromatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agrimonia gryposepala,Agrimonia gryposepala,Agrimonia gryposepala,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia gryposepala,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agrimonia parviflora,Agrimonia parviflora,Agrimonia parviflora,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia parviflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Agrimonia pubescens,Agrimonia pubescens,Agrimonia pubescens,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia pubescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agrimonia rostellata,Agrimonia rostellata,Agrimonia rostellata,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia rostellata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agrostemma githago,Agrostemma githago,Agrostemma githago,Plantae Tracheophyta Magnoliopsida Caryophyllales Caryophyllaceae Agrostemma githago,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis gigantea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Agrostis hyemalis,Agrostis hyemalis,Agrostis hyemalis,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis hyemalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
