label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Acacia macracantha Humb. & Bonpl. ex Willd.,Vachellia macracantha,Acacia macracantha Humb. & Bonpl. ex Willd.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Vachellia macracantha,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Acalypha rhomboidea Raf.,Acalypha rhomboidea,Acalypha rhomboidea Raf.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha rhomboidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha virginica L.,Acalypha virginica,Acalypha virginica L.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha virginica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acanthospermum hispidum DC.,Acanthospermum hispidum,Acanthospermum hispidum DC.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Acanthospermum hispidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer negundo L.,Acer negundo,Acer negundo L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer platanoides L.,Acer platanoides,Acer platanoides L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer platanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer rubrum L.,Acer rubrum,Acer rubrum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achillea millefolium L.,Achillea millefolium,Achillea millefolium L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Actaea racemosa L.,Actaea racemosa,Actaea racemosa L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Actaea rubra (Aiton) Willd.,Actaea rubra,Actaea rubra (Aiton) Willd.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea rubra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Adiantum pedatum L.,Adiantum pedatum,Adiantum pedatum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
