label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Acer platanoides L.,Acer platanoides,Acer platanoides L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer platanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer rubrum L.,Acer rubrum,Acer rubrum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achillea millefolium L.,Achillea millefolium,Achillea millefolium L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Actaea racemosa L.,Actaea racemosa,Actaea racemosa L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Adiantum pedatum L.,Adiantum pedatum,Adiantum pedatum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Agrimonia parviflora Aiton,Agrimonia parviflora,Agrimonia parviflora Aiton,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia Agrimonia parviflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea Roth,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis Agrostis gigantea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle,Plantae Tracheophyta Magnoliopsida Sapindales Simaroubaceae Ailanthus Ailanthus altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium vineale L.,Allium vineale,Allium vineale L.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium Allium vineale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Ambrosia artemisiifolia L.,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ambrosia Ambrosia artemisiifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Amphicarpaea bracteata (L.) Fernald,Amphicarpaea bracteata,Amphicarpaea bracteata (L.) Fernald,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Amphicarpaea Amphicarpaea bracteata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anthoxanthum odoratum L.,Anthoxanthum odoratum,Anthoxanthum odoratum L.,Plantae Tracheophyta Liliopsida Poales Poaceae Anthoxanthum Anthoxanthum odoratum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Apocynum cannabinum L.,Apocynum cannabinum,Apocynum cannabinum L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Apocynum Apocynum cannabinum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,Arrhenatherum elatius,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,Plantae Tracheophyta Liliopsida Poales Poaceae Arrhenatherum Arrhenatherum elatius,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asarum canadense L.,Asarum canadense,Asarum canadense L.,Plantae Tracheophyta Magnoliopsida Piperales Aristolochiaceae Asarum Asarum canadense,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias syriaca L.,Asclepias syriaca,Asclepias syriaca L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias Asclepias syriaca,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asimina triloba (L.) Dunal,Asimina triloba,Asimina triloba (L.) Dunal,Plantae Tracheophyta Magnoliopsida Magnoliales Annonaceae Asimina Asimina triloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asplenium pinnatifidum Nutt.,Asplenium pinnatifidum,Asplenium pinnatifidum Nutt.,Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium Asplenium pinnatifidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",Asplenium platyneuron,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium Asplenium platyneuron,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Barbarea vulgaris W.T. Aiton,Barbarea vulgaris,Barbarea vulgaris W.T. Aiton,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Barbarea Barbarea vulgaris,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Plantae Tracheophyta Magnoliopsida Rosales Urticaceae Boehmeria Boehmeria cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Botrychium virginianum (L.) Sw.,Botrychium virginianum,Botrychium virginianum (L.) Sw.,Plantae Tracheophyta Polypodiopsida Ophioglossales Ophioglossaceae Botrychium Botrychium virginianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bromus arvensis L.,Bromus arvensis,Bromus arvensis L.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus Bromus arvensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Cardamine concatenata (Michx.) Sw.,Cardamine concatenata,Cardamine concatenata (Michx.) Sw.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine Cardamine concatenata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex amphibola Steud.,Carex amphibola,Carex amphibola Steud.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex amphibola,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex brevior (Dewey) Mack.,Carex brevior,Carex brevior (Dewey) Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex brevior,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex conjuncta Boott,Carex conjuncta,Carex conjuncta Boott,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex Carex conjuncta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex gracilescens Steud.,Carex gracilescens Steud.,Carex gracilescens Steud.,Plantae Carex Carex gracilescens Steud.,FORCE_ACCEPTED
