label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Acer platanoides L.,Acer platanoides,Acer platanoides L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer platanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer rubrum L.,Acer rubrum,Acer rubrum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Actaea racemosa L.,Actaea racemosa,Actaea racemosa L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Adiantum pedatum L.,Adiantum pedatum,Adiantum pedatum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium vineale L.,Allium vineale,Allium vineale L.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium vineale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Amphicarpaea bracteata (L.) Fernald,Amphicarpaea bracteata,Amphicarpaea bracteata (L.) Fernald,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Amphicarpaea bracteata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asarum canadense L.,Asarum canadense,Asarum canadense L.,Plantae Tracheophyta Magnoliopsida Piperales Aristolochiaceae Asarum canadense,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias syriaca L.,Asclepias syriaca,Asclepias syriaca L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias syriaca,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asimina triloba (L.) Dunal,Asimina triloba,Asimina triloba (L.) Dunal,Plantae Tracheophyta Magnoliopsida Magnoliales Annonaceae Asimina triloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asplenium pinnatifidum Nutt.,Asplenium pinnatifidum,Asplenium pinnatifidum Nutt.,Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium pinnatifidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Plantae Tracheophyta Magnoliopsida Rosales Urticaceae Boehmeria cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Botrychium virginianum (L.) Sw.,Botrychium virginianum,Botrychium virginianum (L.) Sw.,Plantae Tracheophyta Polypodiopsida Ophioglossales Ophioglossaceae Botrychium virginianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cardamine concatenata (Michx.) Sw.,Cardamine concatenata,Cardamine concatenata (Michx.) Sw.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine concatenata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex amphibola Steud.,Carex amphibola,Carex amphibola Steud.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex amphibola,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex conjuncta Boott,Carex conjuncta,Carex conjuncta Boott,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex conjuncta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex gracilescens Steud.,Carex Steud.,Carex gracilescens Steud.,Plantae Carex Steud.,FORCE_ACCEPTED
Carex muehlenbergii Schkuhr ex Willd.,Carex muehlenbergii,Carex muehlenbergii Schkuhr ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex muehlenbergii,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carex platyphylla Carey,Carex platyphylla,Carex platyphylla Carey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex platyphylla,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex rosea Schkuhr ex Willd.,Carex rosea,Carex rosea Schkuhr ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex rosea,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carpinus caroliniana Walter,Carpinus caroliniana,Carpinus caroliniana Walter,Plantae Tracheophyta Magnoliopsida Fagales Betulaceae Carpinus caroliniana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya cordiformis (Wangenh.) K. Koch,Carya cordiformis,Carya cordiformis (Wangenh.) K. Koch,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya cordiformis,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Carya glabra (Mill.) Sweet,Carya glabra,Carya glabra (Mill.) Sweet,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya glabra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya ovalis (Wangenh.) Sarg.,Carya ovalis,Carya ovalis (Wangenh.) Sarg.,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya ovalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
