label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abelmoschus Medik.,Abelmoschus ,Abelmoschus Medik.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abelmoschus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,Abelmoschus esculentus (L.) Moench,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abelmoschus esculentus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abies Mill.,Abies ,Abies Mill.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abies balsamea (L.) Mill.,Abies balsamea,Abies balsamea (L.) Mill.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies balsamea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abies fraseri (Pursh) Poir.,Abies fraseri,Abies fraseri (Pursh) Poir.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies fraseri,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abutilon Mill.,Abutilon ,Abutilon Mill.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Abutilon theophrasti Medik.,Abutilon theophrasti,Abutilon theophrasti Medik.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon theophrasti,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha L.,Acalypha ,Acalypha L.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acalypha deamii (Weath.) H.E. Ahles,Acalypha deamii,Acalypha deamii (Weath.) H.E. Ahles,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha deamii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha gracilens A. Gray,Acalypha gracilens,Acalypha gracilens A. Gray,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha gracilens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha ostryifolia Riddell,Acalypha ostryifolia,Acalypha ostryifolia Riddell,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha ostryifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acalypha rhomboidea Raf.,Acalypha rhomboidea,Acalypha rhomboidea Raf.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha rhomboidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
