label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Abies Mill.,Abies ,Abies Mill.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Abies concolor,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies concolor,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Plantae Tracheophyta Pinopsida Pinales Pinaceae Abies lasiocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abronia Juss.,Abronia ,Abronia Juss.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Abronia argillosa S.L. Welsh & Goodrich,Abronia glabrifolia,Abronia argillosa S.L. Welsh & Goodrich,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia glabrifolia,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Abronia carletonii J.M. Coult. & Fisher,Abronia carletonii,Abronia carletonii J.M. Coult. & Fisher,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia carletonii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abronia elliptica A. Nelson,Abronia elliptica,Abronia elliptica A. Nelson,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia elliptica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abronia fragrans Nutt. ex Hook.,Abronia fragrans,Abronia fragrans Nutt. ex Hook.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia fragrans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Abronia nana S. Watson,Abronia nana,Abronia nana S. Watson,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Abronia nana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abutilon Mill.,Abutilon ,Abutilon Mill.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Abutilon incanum (Link) Sweet,Abutilon incanum,Abutilon incanum (Link) Sweet,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon incanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abutilon parvulum A. Gray,Abutilon parvulum,Abutilon parvulum A. Gray,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon parvulum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Abutilon theophrasti Medik.,Abutilon theophrasti,Abutilon theophrasti Medik.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Abutilon theophrasti,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acarospora A. Massal.,Acarospora ,Acarospora A. Massal.,Fungi Ascomycota Lecanoromycetes Acarosporales Acarosporaceae Acarospora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer L.,Acer ,Acer L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acer glabrum Torr.,Acer glabrum,Acer glabrum Torr.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer glabrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acer grandidentatum Nutt.,Acer grandidentatum,Acer grandidentatum Nutt.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer grandidentatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer negundo L.,Acer negundo,Acer negundo L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Achillea L.,Achillea ,Achillea L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achillea millefolium L.,Achillea millefolium,Achillea millefolium L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achnatherum P. Beauv.,Achnatherum ,Achnatherum P. Beauv.,Plantae Tracheophyta Liliopsida Poales Poaceae Achnatherum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
